,handle,solvedCount,voteCount,class,tier,ratingByProblemsSum,university
acskr,acskr,358,20,7,21,1873,KAIST
actnow,actnow,68,0,1,7,293,한양대학교
acupoframen,acupoframen,78,0,0,8,353,서강대학교
acvxxx,acvxxx,170,0,2,11,697,고려대학교
adaid,adaid,213,0,2,12,870,성균관대학교
adf901ccc,adf901ccc,137,0,2,10,642,고려대학교
adg8770,adg8770,262,0,3,14,1098,고려대학교
adgdsda,adgdsda,253,0,5,16,1300,국민대학교
adgjl7777777,adgjl7777777,4,0,0,1,29,서울대학교
adizer0,adizer0,34,0,0,6,242,서울대학교
adk0130,adk0130,4,0,0,0,4,고려대학교
adman,adman,568,0,3,17,1605,아주대학교
adokids2,adokids2,9,0,0,1,34,연세대학교
adolfd,adolfd,292,0,4,15,1158,아주대학교
adonisamurensis,adonisamurensis,340,0,3,12,815,서강대학교
ads6549,ads6549,40,0,1,3,59,한양대학교
adsl0081,adsl0081,8,0,0,0,11,성균관대학교
advice02,advice02,198,0,2,13,1070,연세대학교
ae04071,ae04071,2888,4,9,26,2314,연세대학교
aeren,aeren,1117,14,0,26,2531,숭실대학교
aerospace9,aerospace9,23,0,0,2,55,중앙대학교
aeternalisphantasia,aeternalisphantasia,37,0,0,6,221,국민대학교
affinity96,affinity96,170,0,4,14,1060,아주대학교
aflat,aflat,504,132,5,19,1703,한양대학교
aforlife,aforlife,303,0,3,17,1552,성균관대학교
afrabbit,afrabbit,152,0,2,11,743,고려대학교
after0sec,after0sec,3,0,0,0,25,한양대학교
afterglow2,afterglow2,26,0,0,7,330,연세대학교
afterthougt,afterthougt,13,0,0,4,128,연세대학교
again7536,again7536,515,51,5,19,1620,성균관대학교
agent,agent,136,0,2,10,521,경북대학교
agh8775,agh8775,9,0,0,1,29,성균관대학교
agh914,agh914,78,0,1,7,244,중앙대학교
aghimari04,aghimari04,95,0,5,14,1017,연세대학교
agpine,agpine,174,0,1,13,1036,숭실대학교
ahdoa9,ahdoa9,186,0,2,10,576,숭실대학교
ahdtld54,ahdtld54,438,0,5,16,1283,고려대학교
ahe902,ahe902,130,0,0,11,797,성균관대학교
ahee0826,ahee0826,102,0,1,9,412,연세대학교
ahgus89,ahgus89,880,226,8,26,2275,KAIST
